id,title,genre_ids,vote_average,release_date,original_language,popularity,genre_names
950387,A Minecraft Movie,"[10751, 35, 12, 14]",6.072,2025-03-31,en,874.8233,"['Family', 'Comedy', 'Adventure', 'Fantasy']"
324544,In the Lost Lands,"[14, 12, 28]",5.943,2025-02-27,en,791.4652,"['Fantasy', 'Adventure', 'Action']"
1045938,G20,"[28, 9648, 18]",6.4,2025-04-09,en,634.172,"['Action', 'Mystery', 'Drama']"
1195506,Novocaine,"[28, 35, 53]",6.779,2025-03-12,en,470.5292,"['Action', 'Comedy', 'Thriller']"
1293286,Gunslingers,"[37, 28]",5.333,2025-04-11,en,381.6627,"['Western', 'Action']"
1195430,Deva,"[28, 53, 9648, 80]",5.938,2025-01-31,hi,285.4748,"['Action', 'Thriller', 'Mystery', 'Crime']"
1229730,Carjackers,"[28, 12]",6.275,2025-03-27,fr,259.7774,"['Action', 'Adventure']"
1195585,The Hard Hit,"[28, 53, 80]",7.5,2023-10-20,en,281.8236,"['Action', 'Thriller', 'Crime']"
822119,Captain America: Brave New World,"[28, 53, 878]",6.116,2025-02-12,en,285.4807,"['Action', 'Thriller', 'Science Fiction']"
1125899,Cleaner,"[28, 53]",6.584,2025-02-19,en,260.5722,"['Action', 'Thriller']"
696506,Mickey 17,"[878, 35, 12]",6.94,2025-02-28,en,236.5855,"['Science Fiction', 'Comedy', 'Adventure']"
1212855,Fight or Flight,"[28, 35, 53]",5.2,2025-04-03,en,172.3136,"['Action', 'Comedy', 'Thriller']"
1261050,The Quiet Ones,"[28, 18]",5.394,2024-10-31,da,175.8319,"['Action', 'Drama']"
1373723,The Codes of War,"[28, 10752]",6.25,2025-03-20,en,192.6693,"['Action', 'War']"
1252309,Ask Me What You Want,"[10749, 18]",5.832,2024-11-29,es,204.6911,"['Romance', 'Drama']"
1165067,Cosmic Chaos,"[53, 878]",6.022,2023-08-03,en,170.0328,"['Thriller', 'Science Fiction']"
1241982,Moana 2,"[16, 12, 10751, 35]",7.086,2024-11-21,en,195.3665,"['Animation', 'Adventure', 'Family', 'Comedy']"
1208808,Turno nocturno,[27],6.642,2024-10-31,es,205.1089,['Horror']
762509,Mufasa: The Lion King,"[12, 10751, 16]",7.421,2024-12-18,en,173.9135,"['Adventure', 'Family', 'Animation']"
1197306,A Working Man,"[28, 80, 53]",6.475,2025-03-26,en,149.3016,"['Action', 'Crime', 'Thriller']"
1282980,825 Forest Road,[27],5.817,2025-04-04,en,167.892,['Horror']
939243,Sonic the Hedgehog 3,"[28, 878, 35, 10751, 12, 14]",7.741,2024-12-19,en,154.1998,"['Action', 'Science Fiction', 'Comedy', 'Family', 'Adventure', 'Fantasy']"
1297763,Batman Ninja vs. Yakuza League,"[16, 28]",6.663,2025-03-17,ja,128.4288,"['Animation', 'Action']"
1020414,Peter Pan's Neverland Nightmare,"[27, 53, 14]",5.069,2025-01-13,en,122.846,"['Horror', 'Thriller', 'Fantasy']"
1062276,Dark Match,"[28, 27]",4.818,2024-07-21,en,89.708,"['Action', 'Horror']"
1126166,Flight Risk,"[28, 80, 53]",6.117,2025-01-22,en,119.0842,"['Action', 'Crime', 'Thriller']"
1356039,Counterattack,"[28, 12, 53]",8.391,2025-02-27,es,101.5799,"['Action', 'Adventure', 'Thriller']"
1403735,Laila,"[35, 10749]",0.0,2025-02-14,te,134.3744,"['Comedy', 'Romance']"
1140847,Cinderella's Revenge,"[14, 27]",5.139,2024-04-26,en,94.7306,"['Fantasy', 'Horror']"
1249385,Ghost Game,"[27, 53]",3.7,2024-10-18,en,101.2311,"['Horror', 'Thriller']"
1077782,Old Guy,"[28, 35]",5.597,2024-12-13,en,88.9485,"['Action', 'Comedy']"
1304594,Una pequeña confusión,[35],7.488,2024-12-25,es,111.8946,['Comedy']
1217379,Hellhound,"[28, 80, 53]",6.417,2024-06-20,en,85.4141,"['Action', 'Crime', 'Thriller']"
1059643,Clawfoot,[53],5.094,2024-04-24,en,111.3621,['Thriller']
1087891,The Amateur,"[53, 28]",6.9,2025-04-09,en,102.1309,"['Thriller', 'Action']"
1302916,Heart Eyes,"[27, 35, 10749]",6.308,2025-02-06,en,116.9917,"['Horror', 'Comedy', 'Romance']"
447273,Snow White,"[10751, 14]",4.527,2025-03-19,en,101.3432,"['Family', 'Fantasy']"
950396,The Gorge,"[10749, 878, 53]",7.725,2025-02-13,en,92.0002,"['Romance', 'Science Fiction', 'Thriller']"
1104845,Plankton: The Movie,"[16, 12, 35, 10751, 14]",7.0,2025-03-08,en,89.5498,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
1190462,Breathing In,"[27, 53, 18]",5.0,2023-10-18,en,80.7653,"['Horror', 'Thriller', 'Drama']"
